12/3/2014 5:39:08 PM, C:\DropFolder\BenchmarkFactory_7_1_0_482_64bit.msi, /mnt/share/Share/Xfer/R1, 0 Bytes, 12/3/2014 5:46:19 PM, 10 secs, 0 Bytes/sec, ALVTLY
12/3/2014 5:39:08 PM, C:\DropFolder\BenchmarkFactory_7_1_0_482_64bit.msi, /mnt/share/Share/Xfer/R1, 0 Bytes, 12/3/2014 5:46:19 PM, 10 secs, 0 Bytes/sec, ALVTLY
12/3/2014 7:33:24 PM, C:\DropFolder\BenchmarkFactory_7_1_0_482_64bit.msi, /mnt/share/Share/Xfer/R1, 0 Bytes, 12/3/2014 7:33:42 PM, 18 secs, 0 Bytes/sec, ALVTLY
12/3/2014 7:33:59 PM, C:\DropFolder\BenchmarkFactory_7_1_0_482_32bit.msi, /mnt/share/Share/Xfer/R1, 0 Bytes, 12/3/2014 7:43:57 PM, 57 secs, 0 Bytes/sec, ALVTLY
12/3/2014 7:34:29 PM, C:\DropFolder\BenchmarkFactory_7_1_0_482_Trial_32bit.msi, /mnt/share/Share/Xfer/R1, 0 Bytes, 12/3/2014 7:44:54 PM, 24 secs, 0 Bytes/sec, ALVTLY
12/3/2014 7:58:21 PM, C:\DropFolder\DellCodeTesterOracle_2.6.3.979.msi, /mnt/share/Share/Xfer/R1, 0 Bytes, 12/3/2014 7:58:30 PM, 8 secs, 0 Bytes/sec, ALVTLY
12/3/2014 7:58:31 PM, C:\DropFolder\DellCodeTesterOracle_2.6.3.979_Freeware.msi, /mnt/share/Share/Xfer/R1, 0 Bytes, 12/3/2014 7:58:41 PM, 9 secs, 0 Bytes/sec, ALVTLY
12/3/2014 8:03:52 PM, C:\DropFolder\BackupReporter_2.0.0.14.msi, /mnt/share/Share/Xfer/R1, 55.98 MB, 12/3/2014 8:04:01 PM, 8 secs, 7 MB/sec, ALVTLY
12/3/2014 8:04:22 PM, C:\DropFolder\BenchmarkFactory_7_1_0_482_64bit.msi, /mnt/share/Share/Xfer/R1, 100.32 MB, 12/3/2014 8:04:34 PM, 11 secs, 9.12 MB/sec, ALVTLY
12/3/2014 8:04:37 PM, C:\DropFolder\Dell Toad for Oracle 12.6 Read-Only.msi, /mnt/share/Share/Xfer/R1, 69.48 MB, 12/3/2014 8:06:59 PM, 142 secs, 501.05 KB/sec, ALVTLY
12/4/2014 10:51:11 AM, C:\DropFolder\QuestSQLOptimizer_DB2LUW_4_3_0_174.msi, /mnt/share/Share/Xfer/R1, 12.93 MB, 12/4/2014 10:51:34 AM, 23 secs, 575.48 KB/sec, ALVTLY
12/4/2014 10:49:56 AM, C:\DropFolder\QuestSpotlight_DB2_6.9.1.206.msi, /mnt/share/Share/Xfer/R1, 53.6 MB, 12/4/2014 10:51:54 AM, 118 secs, 465.18 KB/sec, ALVTLY
12/4/2014 10:50:46 AM, C:\DropFolder\QuestSQLOptimizerForIBMDB2zOS_5_5_0_332.msi, /mnt/share/Share/Xfer/R1, 75.64 MB, 12/4/2014 10:53:12 AM, 146 secs, 530.52 KB/sec, ALVTLY
12/4/2014 10:51:36 AM, C:\DropFolder\ToadforDB2_6.0.0.373.msi, /mnt/share/Share/Xfer/R1, 83.42 MB, 12/4/2014 10:53:38 AM, 122 secs, 700.18 KB/sec, ALVTLY
12/4/2014 10:51:26 AM, C:\DropFolder\ToadforDB2_Trial_6.0.0.373.msi, /mnt/share/Share/Xfer/R1, 82.83 MB, 12/4/2014 10:53:54 AM, 147 secs, 577.01 KB/sec, ALVTLY
