2/20/2015 3:01:34 PM, \\alvsuitemirror.dev.quest.corp\Contributions\Oracle\SQLOptimizerForOracle_x86_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/SQLOptimizerForOracle_x86_EN, 250 Bytes, 2/20/2015 3:01:44 PM, 9 secs, 27 Bytes/sec, ALVSUITEMIRROR
2/20/2015 3:01:39 PM, \\alvsuitemirror.dev.quest.corp\Contributions\Oracle\SQLOptimizerForOracle_x86_ZH_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/SQLOptimizerForOracle_x86_ZH, 250 Bytes, 2/20/2015 3:01:54 PM, 14 secs, 17 Bytes/sec, ALVSUITEMIRROR
2/20/2015 3:01:57 PM, \\alvsuitemirror.dev.quest.corp\Contributions\Oracle\BackupReporter_2.0.0.14_x86_EN.msi, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/BackupReporter_x86_EN, 55.98 MB, 2/20/2015 3:02:19 PM, 22 secs, 2.54 MB/sec, ALVSUITEMIRROR
2/20/2015 3:46:07 PM, \\alvsuitemirror.dev.quest.corp\Contributions\Oracle\BackupReporter_2.0.1.46_x86_En.msi, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/BackupReporter_x86_EN, 56.11 MB, 2/20/2015 3:47:12 PM, 65 secs, 883.94 KB/sec, ALVSUITEMIRROR
2/23/2015 12:45:18 PM, \\alvsuitemirror.dev.quest.corp\Contributions\Oracle\ToadforOracle_12.6.0.0_x86_EN.msi, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/ToadForOracle_x86_EN, 84.82 MB, 2/23/2015 12:47:50 PM, 151 secs, 575.22 KB/sec, ALVSUITEMIRROR
2/23/2015 1:10:46 PM, \\alvsuitemirror.dev.quest.corp\Contributions\Oracle\ToadforOracle_12.6.0.1_x86_EN.msi, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/ToadForOracle_x86_EN, 84.82 MB, 2/23/2015 1:10:58 PM, 11 secs, 7.71 MB/sec, ALVSUITEMIRROR
2/23/2015 1:48:41 PM, \\alvsuitemirror.dev.quest.corp\Contributions\Oracle\ToadforOracle_12.6.0.2_x86_EN.msi, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/ToadForOracle_x86_EN, 84.82 MB, 2/23/2015 1:48:53 PM, 11 secs, 7.71 MB/sec, ALVSUITEMIRROR
2/23/2015 6:37:43 PM, x:\DB2\SQLOptimizerForOracle_x64_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/SQLOptimizerForOracle_x64_EN, 250 Bytes, 2/23/2015 6:37:48 PM, 5 secs, 50 Bytes/sec, ALVTLY
2/23/2015 6:37:48 PM, x:\DB2\SQLOptimizerForOracle_x64_ZH_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/SQLOptimizerForOracle_x64_ZH, 250 Bytes, 2/23/2015 6:37:53 PM, 5 secs, 50 Bytes/sec, ALVTLY
2/23/2015 6:37:53 PM, x:\DB2\SQLOptimizerForOracle_x86_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/SQLOptimizerForOracle_x86_EN, 250 Bytes, 2/23/2015 6:37:58 PM, 5 secs, 50 Bytes/sec, ALVTLY
2/23/2015 6:37:58 PM, x:\DB2\SQLOptimizerForOracle_x86_ZH_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/SQLOptimizerForOracle_x86_ZH, 250 Bytes, 2/23/2015 6:38:03 PM, 4 secs, 62 Bytes/sec, ALVTLY
2/23/2015 6:38:03 PM, x:\DB2\ToadDataModeler_x86_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/ToadDataModeler_x86_EN, 243 Bytes, 2/23/2015 6:38:08 PM, 5 secs, 48 Bytes/sec, ALVTLY
2/23/2015 6:38:08 PM, x:\DB2\ToadForOracle_x64_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/ToadForOracle_x64_EN, 241 Bytes, 2/23/2015 6:38:13 PM, 5 secs, 48 Bytes/sec, ALVTLY
2/23/2015 6:38:13 PM, x:\DB2\ToadForOracle_x64_ZH_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/ToadForOracle_x64_ZH, 241 Bytes, 2/23/2015 6:38:17 PM, 4 secs, 60 Bytes/sec, ALVTLY
2/23/2015 6:38:18 PM, x:\DB2\ToadForOracle_x86_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/ToadForOracle_x86_EN, 241 Bytes, 2/23/2015 6:38:23 PM, 4 secs, 60 Bytes/sec, ALVTLY
2/23/2015 6:38:23 PM, x:\DB2\ToadForOracle_x86_ZH_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/ToadForOracle_x86_ZH, 241 Bytes, 2/23/2015 6:38:28 PM, 5 secs, 48 Bytes/sec, ALVTLY
2/23/2015 6:38:28 PM, x:\DB2\BackupReporter_x86_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/BackupReporter_x86_EN, 241 Bytes, 2/23/2015 6:38:33 PM, 5 secs, 48 Bytes/sec, ALVTLY
2/23/2015 6:38:33 PM, x:\DB2\BenchmarkFactory_x64_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/BenchmarkFactory_x64_EN, 243 Bytes, 2/23/2015 6:38:38 PM, 5 secs, 48 Bytes/sec, ALVTLY
2/23/2015 6:38:38 PM, x:\DB2\BenchmarkFactory_x64_ZH_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/BenchmarkFactory_x64_ZH, 243 Bytes, 2/23/2015 6:38:43 PM, 5 secs, 48 Bytes/sec, ALVTLY
2/23/2015 6:38:43 PM, x:\DB2\BenchmarkFactory_x86_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/BenchmarkFactory_x86_EN, 243 Bytes, 2/23/2015 6:38:48 PM, 5 secs, 48 Bytes/sec, ALVTLY
2/23/2015 6:38:48 PM, x:\DB2\BenchmarkFactory_x86_ZH_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/BenchmarkFactory_x86_ZH, 243 Bytes, 2/23/2015 6:38:53 PM, 5 secs, 48 Bytes/sec, ALVTLY
2/23/2015 6:38:53 PM, x:\DB2\CodeTesterOracle_x86_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/CodeTesterOracle_x86_EN, 237 Bytes, 2/23/2015 6:38:58 PM, 5 secs, 47 Bytes/sec, ALVTLY
2/23/2015 6:38:58 PM, x:\DB2\Installer_x86_EN_InstallerIntro.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/Installer_x86_EN, 669 Bytes, 2/23/2015 6:39:03 PM, 5 secs, 133 Bytes/sec, ALVTLY
2/23/2015 6:39:03 PM, x:\DB2\Installer_x86_ZH_InstallerIntro.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/Installer_x86_ZH, 735 Bytes, 2/23/2015 6:39:08 PM, 4 secs, 183 Bytes/sec, ALVTLY
2/23/2015 6:39:08 PM, x:\DB2\SpotlightOnOracle_x64_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/SpotlightOnOracle_x64_EN, 245 Bytes, 2/23/2015 6:39:13 PM, 5 secs, 49 Bytes/sec, ALVTLY
2/23/2015 6:39:13 PM, x:\DB2\SpotlightOnOracle_x86_EN_ProductDescription.html, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/SpotlightOnOracle_x86_EN, 245 Bytes, 2/23/2015 6:39:18 PM, 5 secs, 49 Bytes/sec, ALVTLY
2/23/2015 7:05:05 PM, x:\DB2\BackupReporter_2.0.0.14_x86_EN.msi, /mnt/share/Share/Xfer/DSIBuild/Toad_for_Oracle_Installer/Bundle/Products/BackupReporter_x86_EN, 55.98 MB, 2/23/2015 7:07:54 PM, 169 secs, 339.19 KB/sec, ALVTLY
